1741224446.048572311 PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
1741224460.429101866 64 bytes from 10.0.0.2: icmp_seq=140 ttl=64 time=252 ms
1741224460.509398494 64 bytes from 10.0.0.2: icmp_seq=141 ttl=64 time=229 ms
1741224460.548221281 64 bytes from 10.0.0.2: icmp_seq=142 ttl=64 time=166 ms
1741224460.599947330 64 bytes from 10.0.0.2: icmp_seq=143 ttl=64 time=116 ms
1741224460.654117428 64 bytes from 10.0.0.2: icmp_seq=144 ttl=64 time=70.8 ms
1741224460.711990601 64 bytes from 10.0.0.2: icmp_seq=145 ttl=64 time=26.1 ms
1741224460.813207654 64 bytes from 10.0.0.2: icmp_seq=146 ttl=64 time=26.0 ms
1741224460.924529910 64 bytes from 10.0.0.2: icmp_seq=147 ttl=64 time=35.8 ms
1741224461.054472545 64 bytes from 10.0.0.2: icmp_seq=148 ttl=64 time=63.6 ms
1741224461.183039151 64 bytes from 10.0.0.2: icmp_seq=149 ttl=64 time=90.7 ms
1741224461.305848642 64 bytes from 10.0.0.2: icmp_seq=150 ttl=64 time=113 ms
1741224461.420969975 64 bytes from 10.0.0.2: icmp_seq=151 ttl=64 time=125 ms
1741224461.537327335 64 bytes from 10.0.0.2: icmp_seq=152 ttl=64 time=140 ms
1741224461.658596793 64 bytes from 10.0.0.2: icmp_seq=153 ttl=64 time=161 ms
1741224461.734266327 64 bytes from 10.0.0.2: icmp_seq=154 ttl=64 time=137 ms
1741224461.832031309 64 bytes from 10.0.0.2: icmp_seq=155 ttl=64 time=133 ms
1741224461.952553753 64 bytes from 10.0.0.2: icmp_seq=156 ttl=64 time=145 ms
1741224462.048908706 64 bytes from 10.0.0.2: icmp_seq=157 ttl=64 time=143 ms
1741224462.142380601 64 bytes from 10.0.0.2: icmp_seq=158 ttl=64 time=137 ms
1741224462.238427548 64 bytes from 10.0.0.2: icmp_seq=159 ttl=64 time=132 ms
1741224462.338917586 64 bytes from 10.0.0.2: icmp_seq=160 ttl=64 time=129 ms
1741224462.455869957 64 bytes from 10.0.0.2: icmp_seq=161 ttl=64 time=144 ms
1741224462.550291871 64 bytes from 10.0.0.2: icmp_seq=162 ttl=64 time=138 ms
1741224462.645252796 64 bytes from 10.0.0.2: icmp_seq=163 ttl=64 time=132 ms
1741224462.759707116 64 bytes from 10.0.0.2: icmp_seq=164 ttl=64 time=145 ms
1741224462.856315075 64 bytes from 10.0.0.2: icmp_seq=165 ttl=64 time=132 ms
1741224462.955285082 64 bytes from 10.0.0.2: icmp_seq=166 ttl=64 time=137 ms
1741224463.052111045 64 bytes from 10.0.0.2: icmp_seq=167 ttl=64 time=134 ms
1741224463.159039213 64 bytes from 10.0.0.2: icmp_seq=168 ttl=64 time=140 ms
1741224463.262869318 64 bytes from 10.0.0.2: icmp_seq=169 ttl=64 time=143 ms
1741224463.360748302 64 bytes from 10.0.0.2: icmp_seq=170 ttl=64 time=136 ms
