1741223949.358660617 PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
1741223973.839194898 64 bytes from 10.0.0.2: icmp_seq=241 ttl=64 time=100 ms
1741223973.949649138 64 bytes from 10.0.0.2: icmp_seq=242 ttl=64 time=112 ms
1741223974.065510486 64 bytes from 10.0.0.2: icmp_seq=243 ttl=64 time=123 ms
1741223974.168187568 64 bytes from 10.0.0.2: icmp_seq=244 ttl=64 time=125 ms
1741223974.270311638 64 bytes from 10.0.0.2: icmp_seq=245 ttl=64 time=122 ms
1741223974.374815756 64 bytes from 10.0.0.2: icmp_seq=246 ttl=64 time=126 ms
1741223974.436788013 64 bytes from 10.0.0.2: icmp_seq=247 ttl=64 time=89.0 ms
1741223974.538398072 64 bytes from 10.0.0.2: icmp_seq=248 ttl=64 time=85.5 ms
1741223974.644622226 64 bytes from 10.0.0.2: icmp_seq=249 ttl=64 time=89.5 ms
1741223974.749877360 64 bytes from 10.0.0.2: icmp_seq=250 ttl=64 time=96.8 ms
1741223974.870203799 64 bytes from 10.0.0.2: icmp_seq=251 ttl=64 time=117 ms
1741223974.992779285 64 bytes from 10.0.0.2: icmp_seq=252 ttl=64 time=134 ms
1741223975.216218814 64 bytes from 10.0.0.2: icmp_seq=254 ttl=64 time=155 ms
1741223975.525939093 64 bytes from 10.0.0.2: icmp_seq=257 ttl=64 time=156 ms
1741223975.614769894 64 bytes from 10.0.0.2: icmp_seq=258 ttl=64 time=138 ms
1741223975.706482754 64 bytes from 10.0.0.2: icmp_seq=259 ttl=64 time=127 ms
1741223975.794274533 64 bytes from 10.0.0.2: icmp_seq=260 ttl=64 time=114 ms
1741223975.924109165 64 bytes from 10.0.0.2: icmp_seq=261 ttl=64 time=143 ms
1741223976.021418138 64 bytes from 10.0.0.2: icmp_seq=262 ttl=64 time=139 ms
1741223976.117160079 64 bytes from 10.0.0.2: icmp_seq=263 ttl=64 time=134 ms
1741223976.216294088 64 bytes from 10.0.0.2: icmp_seq=264 ttl=64 time=134 ms
1741223976.330042395 64 bytes from 10.0.0.2: icmp_seq=265 ttl=64 time=143 ms
1741223976.425375327 64 bytes from 10.0.0.2: icmp_seq=266 ttl=64 time=139 ms
1741223976.532326495 64 bytes from 10.0.0.2: icmp_seq=267 ttl=64 time=145 ms
1741223976.734490594 64 bytes from 10.0.0.2: icmp_seq=269 ttl=64 time=145 ms
1741223976.849717929 64 bytes from 10.0.0.2: icmp_seq=270 ttl=64 time=154 ms
1741223976.945911879 64 bytes from 10.0.0.2: icmp_seq=271 ttl=64 time=148 ms
1741223977.046328915 64 bytes from 10.0.0.2: icmp_seq=272 ttl=64 time=149 ms
1741223977.337131810 64 bytes from 10.0.0.2: icmp_seq=275 ttl=64 time=132 ms
1741223977.551336152 64 bytes from 10.0.0.2: icmp_seq=277 ttl=64 time=142 ms
1741223977.657365302 64 bytes from 10.0.0.2: icmp_seq=278 ttl=64 time=145 ms
1741223977.758025343 64 bytes from 10.0.0.2: icmp_seq=279 ttl=64 time=141 ms
1741223977.863774487 64 bytes from 10.0.0.2: icmp_seq=280 ttl=64 time=148 ms
1741223977.940704046 64 bytes from 10.0.0.2: icmp_seq=281 ttl=64 time=125 ms
1741223978.055563375 64 bytes from 10.0.0.2: icmp_seq=282 ttl=64 time=139 ms
1741223978.268293687 64 bytes from 10.0.0.2: icmp_seq=284 ttl=64 time=145 ms
1741223978.470362784 64 bytes from 10.0.0.2: icmp_seq=286 ttl=64 time=143 ms
1741223978.686314161 64 bytes from 10.0.0.2: icmp_seq=288 ttl=64 time=155 ms
1741223978.769065839 64 bytes from 10.0.0.2: icmp_seq=289 ttl=64 time=126 ms
1741223978.970287918 64 bytes from 10.0.0.2: icmp_seq=291 ttl=64 time=125 ms
1741223979.067246883 64 bytes from 10.0.0.2: icmp_seq=292 ttl=64 time=122 ms
1741223979.185350278 64 bytes from 10.0.0.2: icmp_seq=293 ttl=64 time=134 ms
1741223979.280763212 64 bytes from 10.0.0.2: icmp_seq=294 ttl=64 time=129 ms
1741223979.391540458 64 bytes from 10.0.0.2: icmp_seq=295 ttl=64 time=141 ms
1741223979.489645447 64 bytes from 10.0.0.2: icmp_seq=296 ttl=64 time=138 ms
1741223979.717266062 64 bytes from 10.0.0.2: icmp_seq=298 ttl=64 time=164 ms
1741223979.921966212 64 bytes from 10.0.0.2: icmp_seq=300 ttl=64 time=162 ms
1741223980.138929610 64 bytes from 10.0.0.2: icmp_seq=302 ttl=64 time=172 ms
1741223980.228434424 64 bytes from 10.0.0.2: icmp_seq=303 ttl=64 time=158 ms
1741223980.318060241 64 bytes from 10.0.0.2: icmp_seq=304 ttl=64 time=147 ms
1741223980.390210704 64 bytes from 10.0.0.2: icmp_seq=305 ttl=64 time=118 ms
1741223980.468626294 64 bytes from 10.0.0.2: icmp_seq=306 ttl=64 time=92.0 ms
1741223980.557299091 64 bytes from 10.0.0.2: icmp_seq=307 ttl=64 time=82.2 ms
1741223980.679793574 64 bytes from 10.0.0.2: icmp_seq=308 ttl=64 time=103 ms
1741223980.768434371 64 bytes from 10.0.0.2: icmp_seq=309 ttl=64 time=90.7 ms
1741223980.879948632 64 bytes from 10.0.0.2: icmp_seq=310 ttl=64 time=103 ms
1741223980.980039662 64 bytes from 10.0.0.2: icmp_seq=311 ttl=64 time=100 ms
1741223981.093843968 64 bytes from 10.0.0.2: icmp_seq=312 ttl=64 time=114 ms
1741223981.189861915 64 bytes from 10.0.0.2: icmp_seq=313 ttl=64 time=108 ms
1741223981.286489874 64 bytes from 10.0.0.2: icmp_seq=314 ttl=64 time=104 ms
1741223981.392633026 64 bytes from 10.0.0.2: icmp_seq=315 ttl=64 time=108 ms
1741223981.507980365 64 bytes from 10.0.0.2: icmp_seq=316 ttl=64 time=119 ms
1741223981.623807713 64 bytes from 10.0.0.2: icmp_seq=317 ttl=64 time=131 ms
1741223981.726002784 64 bytes from 10.0.0.2: icmp_seq=318 ttl=64 time=134 ms
1741223981.812807544 64 bytes from 10.0.0.2: icmp_seq=319 ttl=64 time=122 ms
1741223981.926799855 64 bytes from 10.0.0.2: icmp_seq=320 ttl=64 time=135 ms
1741223982.044337238 64 bytes from 10.0.0.2: icmp_seq=321 ttl=64 time=148 ms
1741223982.141538208 64 bytes from 10.0.0.2: icmp_seq=322 ttl=64 time=142 ms
1741223982.237438152 64 bytes from 10.0.0.2: icmp_seq=323 ttl=64 time=140 ms
1741223982.349321420 64 bytes from 10.0.0.2: icmp_seq=324 ttl=64 time=151 ms
1741223982.446499390 64 bytes from 10.0.0.2: icmp_seq=325 ttl=64 time=148 ms
1741223982.553555560 64 bytes from 10.0.0.2: icmp_seq=326 ttl=64 time=152 ms
1741223982.634444200 64 bytes from 10.0.0.2: icmp_seq=327 ttl=64 time=131 ms
1741223982.723084998 64 bytes from 10.0.0.2: icmp_seq=328 ttl=64 time=121 ms
1741223982.812204804 64 bytes from 10.0.0.2: icmp_seq=329 ttl=64 time=108 ms
1741223982.920466999 64 bytes from 10.0.0.2: icmp_seq=330 ttl=64 time=114 ms
1741223983.034346308 64 bytes from 10.0.0.2: icmp_seq=331 ttl=64 time=125 ms
1741223983.137047390 64 bytes from 10.0.0.2: icmp_seq=332 ttl=64 time=128 ms
1741223983.252399728 64 bytes from 10.0.0.2: icmp_seq=333 ttl=64 time=143 ms
1741223983.346791642 64 bytes from 10.0.0.2: icmp_seq=334 ttl=64 time=138 ms
1741223983.446861670 64 bytes from 10.0.0.2: icmp_seq=335 ttl=64 time=136 ms
1741223983.550380769 64 bytes from 10.0.0.2: icmp_seq=336 ttl=64 time=138 ms
1741223983.667012133 64 bytes from 10.0.0.2: icmp_seq=337 ttl=64 time=151 ms
1741223983.763905098 64 bytes from 10.0.0.2: icmp_seq=338 ttl=64 time=147 ms
1741223983.927242409 64 bytes from 10.0.0.2: icmp_seq=340 ttl=64 time=107 ms
1741223984.031829529 64 bytes from 10.0.0.2: icmp_seq=341 ttl=64 time=110 ms
1741223984.146173847 64 bytes from 10.0.0.2: icmp_seq=342 ttl=64 time=123 ms
1741223984.259180138 64 bytes from 10.0.0.2: icmp_seq=343 ttl=64 time=136 ms
1741223984.356672115 64 bytes from 10.0.0.2: icmp_seq=344 ttl=64 time=132 ms
1741223984.560094239 64 bytes from 10.0.0.2: icmp_seq=346 ttl=64 time=131 ms
1741223984.663021325 64 bytes from 10.0.0.2: icmp_seq=347 ttl=64 time=133 ms
1741223984.769024475 64 bytes from 10.0.0.2: icmp_seq=348 ttl=64 time=139 ms
1741223984.866920459 64 bytes from 10.0.0.2: icmp_seq=349 ttl=64 time=134 ms
1741223984.976343678 64 bytes from 10.0.0.2: icmp_seq=350 ttl=64 time=140 ms
1741223985.060918392 64 bytes from 10.0.0.2: icmp_seq=351 ttl=64 time=126 ms
1741223985.150029198 64 bytes from 10.0.0.2: icmp_seq=352 ttl=64 time=113 ms
1741223985.263977508 64 bytes from 10.0.0.2: icmp_seq=353 ttl=64 time=127 ms
