1741224197.586013958 PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
1741224227.719011868 64 bytes from 10.0.0.2: icmp_seq=292 ttl=64 time=330 ms
1741224227.820867933 64 bytes from 10.0.0.2: icmp_seq=293 ttl=64 time=327 ms
1741224227.926918083 64 bytes from 10.0.0.2: icmp_seq=294 ttl=64 time=332 ms
1741224228.032880232 64 bytes from 10.0.0.2: icmp_seq=295 ttl=64 time=337 ms
1741224228.133649275 64 bytes from 10.0.0.2: icmp_seq=296 ttl=64 time=337 ms
1741224228.239377419 64 bytes from 10.0.0.2: icmp_seq=297 ttl=64 time=341 ms
1741224228.346935599 64 bytes from 10.0.0.2: icmp_seq=298 ttl=64 time=346 ms
1741224228.454487780 64 bytes from 10.0.0.2: icmp_seq=299 ttl=64 time=348 ms
1741224228.548471685 64 bytes from 10.0.0.2: icmp_seq=300 ttl=64 time=344 ms
1741224228.654390833 64 bytes from 10.0.0.2: icmp_seq=301 ttl=64 time=350 ms
1741224228.756811909 64 bytes from 10.0.0.2: icmp_seq=302 ttl=64 time=351 ms
1741224228.864618095 64 bytes from 10.0.0.2: icmp_seq=303 ttl=64 time=354 ms
1741224228.972778288 64 bytes from 10.0.0.2: icmp_seq=304 ttl=64 time=360 ms
1741224229.077520412 64 bytes from 10.0.0.2: icmp_seq=305 ttl=64 time=364 ms
1741224229.172016327 64 bytes from 10.0.0.2: icmp_seq=306 ttl=64 time=359 ms
1741224229.288589690 64 bytes from 10.0.0.2: icmp_seq=307 ttl=64 time=372 ms
1741224229.390695761 64 bytes from 10.0.0.2: icmp_seq=308 ttl=64 time=373 ms
1741224229.493899853 64 bytes from 10.0.0.2: icmp_seq=309 ttl=64 time=371 ms
1741224229.587085742 64 bytes from 10.0.0.2: icmp_seq=310 ttl=64 time=366 ms
1741224229.695979950 64 bytes from 10.0.0.2: icmp_seq=311 ttl=64 time=374 ms
1741224229.791597889 64 bytes from 10.0.0.2: icmp_seq=312 ttl=64 time=370 ms
1741224229.896105007 64 bytes from 10.0.0.2: icmp_seq=313 ttl=64 time=372 ms
