1741225446.315579354 PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
1741225465.577829900 64 bytes from 10.0.0.2: icmp_seq=190 ttl=64 time=43.8 ms
1741225465.654143447 64 bytes from 10.0.0.2: icmp_seq=191 ttl=64 time=23.1 ms
1741225465.784365089 64 bytes from 10.0.0.2: icmp_seq=192 ttl=64 time=37.2 ms
1741225465.889237214 64 bytes from 10.0.0.2: icmp_seq=193 ttl=64 time=34.6 ms
1741225465.999419447 64 bytes from 10.0.0.2: icmp_seq=194 ttl=64 time=44.4 ms
1741225466.132196140 64 bytes from 10.0.0.2: icmp_seq=195 ttl=64 time=73.9 ms
1741225466.225280027 64 bytes from 10.0.0.2: icmp_seq=196 ttl=64 time=68.8 ms
1741225466.321922986 64 bytes from 10.0.0.2: icmp_seq=197 ttl=64 time=65.7 ms
1741225466.411177795 64 bytes from 10.0.0.2: icmp_seq=198 ttl=64 time=52.7 ms
1741225466.530651218 64 bytes from 10.0.0.2: icmp_seq=199 ttl=64 time=67.5 ms
1741225466.688866425 64 bytes from 10.0.0.2: icmp_seq=201 ttl=64 time=23.2 ms
1741225466.823526155 64 bytes from 10.0.0.2: icmp_seq=202 ttl=64 time=55.8 ms
1741225466.895963624 64 bytes from 10.0.0.2: icmp_seq=203 ttl=64 time=25.6 ms
1741225467.004055815 64 bytes from 10.0.0.2: icmp_seq=204 ttl=64 time=33.3 ms
1741225467.126074289 64 bytes from 10.0.0.2: icmp_seq=205 ttl=64 time=54.5 ms
1741225467.206318915 64 bytes from 10.0.0.2: icmp_seq=206 ttl=64 time=32.7 ms
1741225467.301786852 64 bytes from 10.0.0.2: icmp_seq=207 ttl=64 time=25.3 ms
1741225467.399478832 64 bytes from 10.0.0.2: icmp_seq=208 ttl=64 time=23.6 ms
1741225467.508702047 64 bytes from 10.0.0.2: icmp_seq=209 ttl=64 time=31.8 ms
1741225467.600633911 64 bytes from 10.0.0.2: icmp_seq=210 ttl=64 time=23.2 ms
1741225467.702107969 64 bytes from 10.0.0.2: icmp_seq=211 ttl=64 time=23.2 ms
1741225467.839966764 64 bytes from 10.0.0.2: icmp_seq=212 ttl=64 time=56.5 ms
1741225468.015285318 64 bytes from 10.0.0.2: icmp_seq=214 ttl=64 time=28.7 ms
1741225468.122611495 64 bytes from 10.0.0.2: icmp_seq=215 ttl=64 time=37.3 ms
1741225468.232471722 64 bytes from 10.0.0.2: icmp_seq=216 ttl=64 time=41.5 ms
1741225468.353963186 64 bytes from 10.0.0.2: icmp_seq=217 ttl=64 time=60.2 ms
1741225468.439930929 64 bytes from 10.0.0.2: icmp_seq=218 ttl=64 time=48.3 ms
1741225468.545860076 64 bytes from 10.0.0.2: icmp_seq=219 ttl=64 time=52.6 ms
